ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1575692,G336988,06/10/2001 09:00:00 PM,062XX S MAPLEWOOD AV,0460,BATTERY,SIMPLE,SIDEWALK,False,True,825,8.0,,,08B,1160397.0,1863424.0,2001,08/17/2015 03:03:40 PM,41.780932652,-87.687499877,"(41.780932652, -87.687499877)"
1670096,G460383,08/02/2001 05:00:00 PM,117XX S LAFLIN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,524,5.0,,,07,1168415.0,1826516.0,2001,08/17/2015 03:03:40 PM,41.679482659,-87.659164054,"(41.679482659, -87.659164054)"
9835174,HX433377,09/18/2014 07:00:00 AM,049XX W OHIO ST,2050,NARCOTICS,CRIMINAL DRUG CONSPIRACY,STREET,True,False,1532,15.0,37.0,25.0,18,,,2014,04/15/2017 03:51:05 PM,,,
11534992,JB552625,12/14/2018 08:20:00 AM,026XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1125,11.0,27.0,27.0,08B,1158630.0,1899913.0,2018,12/21/2018 04:10:16 PM,41.881099005,-87.692980901,"(41.881099005, -87.692980901)"
2425625,HH745502,10/28/2002 12:00:00 PM,018XX S KEELER AVE,0820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",False,False,1012,10.0,24.0,29.0,06,1148681.0,1890647.0,2002,02/28/2018 03:56:25 PM,41.855869895,-87.729752505,"(41.855869895, -87.729752505)"
5399808,HN244552,03/24/2007 11:37:56 AM,024XX E 79TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,True,True,422,4.0,7.0,46.0,08B,1193756.0,1853059.0,2007,09/07/2021 03:41:02 PM,41.751737704,-87.565539856,"(41.751737704, -87.565539856)"
2385103,HH695709,10/06/2002 04:30:00 AM,045XX S CHAMPLAIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,False,False,222,2.0,4.0,38.0,14,1181465.0,1875137.0,2002,02/28/2018 03:56:25 PM,41.812613963,-87.609899424,"(41.812613963, -87.609899424)"
10450767,HZ189827,03/08/2016 11:00:00 AM,009XX W FULLERTON AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,1932,19.0,43.0,7.0,06,1169415.0,1916136.0,2016,02/10/2018 03:50:01 PM,41.925388257,-87.652906704,"(41.925388257, -87.652906704)"
13462239,JH265860,05/12/2024 07:00:00 PM,006XX E GRAND AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,False,False,1834,18.0,42.0,8.0,11,1180796.0,1904058.0,2024,12/21/2024 03:40:46 PM,41.891990384,-87.611461502,"(41.891990384, -87.611461502)"
5258159,HN126373,01/15/2007 08:00:00 PM,026XX W 38TH ST,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),False,False,913,9.0,12.0,58.0,06,1159363.0,1879362.0,2007,02/28/2018 03:56:25 PM,41.824689846,-87.690853982,"(41.824689846, -87.690853982)"
1953802,HH138149,01/20/2002 06:05:00 PM,035XX W ROOSEVELT RD,1310,CRIMINAL DAMAGE,TO PROPERTY,TAVERN/LIQUOR STORE,False,False,1133,11.0,,,14,1152955.0,1894481.0,2002,02/28/2018 03:56:25 PM,41.866307314,-87.713963181,"(41.866307314, -87.713963181)"
5944846,HN734190,11/30/2007 12:17:57 AM,062XX S DREXEL AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,313,3.0,20.0,42.0,18,1183081.0,1863726.0,2007,02/28/2018 03:56:25 PM,41.781263748,-87.60432695,"(41.781263748, -87.60432695)"
11272715,JB207243,04/01/2018 07:29:00 AM,0000X E 59TH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,232,2.0,20.0,40.0,03,1177510.0,1865907.0,2018,05/04/2018 03:51:04 PM,41.787376424,-87.624685384,"(41.787376424, -87.624685384)"
